Target,Best_Approach,Best_Alpha,Best_InnerCV_R2,NestedCV_R2_Mean,NestedCV_R2_Std,PCA_Variance_Explained
MMSE_Score,PCA,10.0,0.0482,0.0338,0.0529,0.96
CardSort_Unadj,PCA,10.0,0.086,0.0769,0.0798,0.9573
CardSort_AgeAdj,PCA,10.0,0.0881,0.0817,0.0537,0.951
Flanker_Unadj,PCA,10.0,0.1519,0.1245,0.0926,0.9629
Flanker_AgeAdj,PCA,10.0,0.1719,0.1583,0.0574,0.9554
WM_Task_Acc,PCA,10.0,0.0801,0.0737,0.0578,0.9532
ListSort_Unadj,PCA,10.0,0.1069,0.0995,0.0722,0.9604
ListSort_AgeAdj,PCA,10.0,0.0913,0.0661,0.0489,0.9614
SCPT_SEN,PCA,10.0,-0.0108,-0.0279,0.2061,0.9583
SCPT_SPEC,PCA,10.0,0.0535,0.017,0.0637,0.9575
ProcSpeed_Unadj,PCA,10.0,0.0889,0.0848,0.0288,0.9594
ProcSpeed_AgeAdj,PCA,10.0,0.0887,0.0575,0.0261,0.9543
ReadEng_Unadj,PCA,10.0,0.0856,0.1072,0.0322,0.9529
ReadEng_AgeAdj,PCA,10.0,0.091,0.0924,0.0406,0.9608
PicVocab_Unadj,Raw,10.0,0.1157,0.0999,0.0579,N/A
PicVocab_AgeAdj,PCA,10.0,0.0759,0.0827,0.018,1.0
Language_Task_Acc,PCA,10.0,0.1001,0.0838,0.0503,0.9534
