Target,k,R2_Mean,R2_Std
MMSE_Score,10,0.02882912111915483,0.049736356893995595
MMSE_Score,20,0.028954964625692803,0.05660004635031913
MMSE_Score,30,0.016739486045278328,0.05191794064879569
MMSE_Score,40,-0.005574599591229301,0.049994047360065456
MMSE_Score,50,-0.0341896028762428,0.06167690694291163
CardSort_Unadj,10,0.05292728019271995,0.05645133183401733
CardSort_Unadj,20,0.05053032563482081,0.06576480332229612
CardSort_Unadj,30,0.05441653234985126,0.0898198768570481
CardSort_Unadj,40,0.08030753967317561,0.07611153213992382
CardSort_Unadj,50,0.06949093448165448,0.0884811830281519
CardSort_AgeAdj,10,0.07069545770464722,0.04373167115904152
CardSort_AgeAdj,20,0.07531835438180834,0.03966949534508182
CardSort_AgeAdj,30,0.0704762709999069,0.05380579188185139
CardSort_AgeAdj,40,0.04164199286554247,0.06665632468652745
CardSort_AgeAdj,50,0.035383937003808666,0.090457130490247
Flanker_Unadj,10,0.06476452756464215,0.09584893492066199
Flanker_Unadj,20,0.10468309331794909,0.06476557357970826
Flanker_Unadj,30,0.11549473766291726,0.12371070281554036
Flanker_Unadj,40,0.11648133981133521,0.08988219644572089
Flanker_Unadj,50,0.0894991043315008,0.12754869675671576
Flanker_AgeAdj,10,0.056503372046284486,0.08713197153464831
Flanker_AgeAdj,20,0.12985455399277152,0.06566752360770935
Flanker_AgeAdj,30,0.15717603767381988,0.07493684881679329
Flanker_AgeAdj,40,0.15152768943360212,0.1244236976454972
Flanker_AgeAdj,50,0.11879730512033801,0.11115364493806489
WM_Task_Acc,10,0.052951241976852616,0.06790286935575851
WM_Task_Acc,20,0.058820801659532164,0.059399200557032836
WM_Task_Acc,30,0.05424368704903306,0.06078575097700904
WM_Task_Acc,40,0.03398255893745548,0.06905167694838443
WM_Task_Acc,50,0.05593728108631883,0.07888140803830027
ListSort_Unadj,10,0.06238552120811243,0.0725281634959171
ListSort_Unadj,20,0.07548395334915954,0.06136484006482811
ListSort_Unadj,30,0.08100087206700564,0.06961675837038545
ListSort_Unadj,40,0.09826926277238508,0.0440448967006241
ListSort_Unadj,50,0.05983438195447568,0.06274697309477534
ListSort_AgeAdj,10,0.0638896814120478,0.04510098554838303
ListSort_AgeAdj,20,0.04965357751603836,0.060277011630939355
ListSort_AgeAdj,30,0.05015824173831045,0.036452881548336175
ListSort_AgeAdj,40,0.020075090065853507,0.049035912547608994
ListSort_AgeAdj,50,0.027110591588130915,0.07625066326879283
SCPT_SEN,10,0.019165956291397546,0.10459149085754088
SCPT_SEN,20,-0.016522629971008795,0.17693276810150899
SCPT_SEN,30,-0.04643186049671677,0.2205753481418701
SCPT_SEN,40,-0.1041832290179286,0.24719117549608147
SCPT_SEN,50,-0.19145414581055167,0.3272482610357929
SCPT_SPEC,10,0.005827743237658711,0.03519934741619848
SCPT_SPEC,20,-0.003117905459899051,0.03786919994064393
SCPT_SPEC,30,-0.004791612944713442,0.0832358863722711
SCPT_SPEC,40,0.009079999421215512,0.13556603397805075
SCPT_SPEC,50,-0.0052650227156543885,0.13608044671283726
ProcSpeed_Unadj,10,0.10162656535398015,0.06470288774888412
ProcSpeed_Unadj,20,0.09841468568099491,0.07129240885298622
ProcSpeed_Unadj,30,0.07723567489646874,0.03811652322071104
ProcSpeed_Unadj,40,0.09138838176050927,0.03511949498853643
ProcSpeed_Unadj,50,0.06626150827484759,0.028949587448387857
ProcSpeed_AgeAdj,10,0.08657858359226163,0.0905991039080426
ProcSpeed_AgeAdj,20,0.08988876239212314,0.07022409420244512
ProcSpeed_AgeAdj,30,0.04998274815745749,0.04524857352592266
ProcSpeed_AgeAdj,40,0.0514200480605882,0.039910806517733974
ProcSpeed_AgeAdj,50,0.04581577620947304,0.06374372275774916
ReadEng_Unadj,10,0.0658238111995999,0.015405413152164402
ReadEng_Unadj,20,0.07547493126991833,0.044614550431384535
ReadEng_Unadj,30,0.08980593752433222,0.03062401678414492
ReadEng_Unadj,40,0.1096071344507155,0.03168557300534537
ReadEng_Unadj,50,0.09949957085155606,0.05460890089517316
ReadEng_AgeAdj,10,0.0556216693148055,0.03901260108920834
ReadEng_AgeAdj,20,0.06211618326687287,0.04295049956549103
ReadEng_AgeAdj,30,0.0813305404000169,0.044322149599150935
ReadEng_AgeAdj,40,0.10829637856491421,0.05801823100749256
ReadEng_AgeAdj,50,0.09127914460470951,0.06756492477376126
PicVocab_Unadj,10,0.075374571828098,0.0358946899083959
PicVocab_Unadj,20,0.10555622081748842,0.055310220363850124
PicVocab_Unadj,30,0.06823600460974215,0.05669482659721357
PicVocab_Unadj,40,0.04206630255125907,0.10036371282611033
PicVocab_Unadj,50,0.039596547483922426,0.094592863834117
PicVocab_AgeAdj,10,0.09083786494799803,0.02395831602218597
PicVocab_AgeAdj,20,0.08166761021414701,0.04880762058818847
PicVocab_AgeAdj,30,0.07725597178254998,0.06654973993749684
PicVocab_AgeAdj,40,0.03246267978727446,0.07258303796120326
PicVocab_AgeAdj,50,0.024053155300925822,0.04690195424068497
Language_Task_Acc,10,0.04917011851518127,0.0627439706776497
Language_Task_Acc,20,0.08322863269248264,0.0723104293582196
Language_Task_Acc,30,0.06931081731423419,0.047142715007227526
Language_Task_Acc,40,0.0824792224301916,0.039477133614412394
Language_Task_Acc,50,0.08324609576934924,0.03262488918696496
