ROI_Name,Hemisphere,Network,Subregion,Parcel_Index,RGB1,RGB2,RGB3,Label
17Networks_LH_VisCent_ExStr_1,LH,VisCent,VisCent_ExStr,1,120,18,136,0
17Networks_LH_VisCent_ExStr_2,LH,VisCent,VisCent_ExStr,2,120,18,137,0
17Networks_LH_VisCent_Striate_1,LH,VisCent,VisCent_Striate,1,120,18,138,0
17Networks_LH_VisCent_ExStr_3,LH,VisCent,VisCent_ExStr,3,120,18,139,0
17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,VisPeri_ExStrInf,1,255,0,2,0
17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,VisPeri_StriCal,1,255,0,3,0
17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,VisPeri_ExStrSup,1,255,0,4,0
17Networks_LH_SomMotA_1,LH,SomMotA,SomMotA,1,70,130,181,0
17Networks_LH_SomMotA_2,LH,SomMotA,SomMotA,2,70,130,182,0
17Networks_LH_SomMotB_S2_1,LH,SomMotB,SomMotB_S2,1,43,204,166,0
17Networks_LH_SomMotB_S2_2,LH,SomMotB,SomMotB_S2,2,43,204,167,0
17Networks_LH_SomMotB_Cent_1,LH,SomMotB,SomMotB_Cent,1,43,204,168,0
17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,DorsAttnA_TempOcc,1,74,156,61,0
17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,DorsAttnA_SPL,1,74,156,63,0
17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,DorsAttnB_PostC,1,0,118,16,0
17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,DorsAttnB_PostC,2,0,118,17,0
17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,DorsAttnB_PostC,3,0,118,18,0
17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,DorsAttnB_FEF,1,0,119,15,0
17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,SalVentAttnA_ParOper,1,196,58,251,0
17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,SalVentAttnA_Ins,1,196,59,251,0
17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,SalVentAttnA_Ins,2,196,59,252,0
17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,SalVentAttnA_ParMed,1,196,59,253,0
17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,SalVentAttnA_FrMed,1,197,58,251,0
17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,SalVentAttnB_PFCl,1,255,153,214,0
17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnB,SalVentAttnB_PFCmp,1,255,151,214,0
17Networks_LH_LimbicB_OFC_1,LH,LimbicB,LimbicB_OFC,1,122,135,51,0
17Networks_LH_LimbicA_TempPole_1,LH,LimbicA,LimbicA_TempPole,1,220,248,165,0
17Networks_LH_LimbicA_TempPole_2,LH,LimbicA,LimbicA_TempPole,2,220,248,166,0
17Networks_LH_ContA_IPS_1,LH,ContA,ContA_IPS,1,230,148,36,0
17Networks_LH_ContA_PFCl_1,LH,ContA,ContA_PFCl,1,230,149,36,0
17Networks_LH_ContA_PFCl_2,LH,ContA,ContA_PFCl,2,230,149,37,0
17Networks_LH_ContB_PFClv_1,LH,ContB,ContB_PFClv,1,136,50,75,0
17Networks_LH_ContC_pCun_1,LH,ContC,ContC_pCun,1,119,140,177,0
17Networks_LH_ContC_pCun_2,LH,ContC,ContC_pCun,2,119,140,178,0
17Networks_LH_ContC_Cingp_1,LH,ContC,ContC_Cingp,1,119,140,179,0
17Networks_LH_DefaultA_PFCd_1,LH,DefaultA,DefaultA_PFCd,1,255,255,2,0
17Networks_LH_DefaultA_pCunPCC_1,LH,DefaultA,DefaultA_pCunPCC,1,255,254,1,0
17Networks_LH_DefaultA_PFCm_1,LH,DefaultA,DefaultA_PFCm,1,254,255,1,0
17Networks_LH_DefaultB_Temp_1,LH,DefaultB,DefaultB_Temp,1,205,62,79,0
17Networks_LH_DefaultB_Temp_2,LH,DefaultB,DefaultB_Temp,2,205,62,80,0
17Networks_LH_DefaultB_IPL_1,LH,DefaultB,DefaultB_IPL,1,205,62,81,0
17Networks_LH_DefaultB_PFCl_1,LH,DefaultB,DefaultB_PFCl,1,205,63,80,0
17Networks_LH_DefaultB_PFCv_1,LH,DefaultB,DefaultB_PFCv,1,206,62,79,0
17Networks_LH_DefaultB_PFCv_2,LH,DefaultB,DefaultB_PFCv,2,206,62,80,0
